"product_key","product_id","product_name","category","supplier_id","cost","selling_price","reorder_level"
1,"PRD00001","Pro T-Shirt","Apparel","SUP0028",68.65,89.85,75
2,"PRD00002","Deluxe Pasta Pack","Grocery","SUP0084",1.99,3.92,50
3,"PRD00003","Essential Desk Organizer","Office Supplies","SUP0019",75.57,133.91,25
4,"PRD00004","Heavy-Duty Storage Box","Home & Kitchen","SUP0069",106.97,147.62,25
5,"PRD00005","Classic Phone Mount","Automotive","SUP0052",71.01,102.09,25
6,"PRD00006","Wireless Storage Box","Home & Kitchen","SUP0064",140.91,251.66,10
7,"PRD00007","Compact Bookshelf","Furniture","SUP0081",602.67,879.87,20
8,"PRD00008","Classic Sofa","Furniture","SUP0009",860.51,1551.86,50
9,"PRD00009","Ultra Whiteboard","Office Supplies","SUP0033",50.78,86.77,75
10,"PRD00010","Premium Coffee Beans","Grocery","SUP0088",17.36,24.93,75
11,"PRD00011","Essential Desk","Furniture","SUP0015",336.48,611.85,25
12,"PRD00012","Ultra Yoga Mat","Sports & Outdoors","SUP0093",10.23,13.68,100
13,"PRD00013","Portable Scarf","Apparel","SUP0023",11.67,14.94,75
14,"PRD00014","Essential Snack Box","Grocery","SUP0108",34.36,61.08,100
15,"PRD00015","Eco Water Bottle","Sports & Outdoors","SUP0048",145.41,192.43,20
16,"PRD00016","Portable Puzzle","Toys & Games","SUP0077",61.03,97.96,25
17,"PRD00017","Compact Backpack","Sports & Outdoors","SUP0113",56.92,89.67,25
18,"PRD00018","Eco Socks Pack","Apparel","SUP0011",62.78,107.47,10
19,"PRD00019","Compact Phone Mount","Automotive","SUP0099",257.69,330.87,20
20,"PRD00020","Ultra Storage Box","Home & Kitchen","SUP0022",98.66,169.64,25
21,"PRD00021","Smart Building Blocks","Toys & Games","SUP0028",62.36,118.01,75
22,"PRD00022","Heavy-Duty Bookshelf","Furniture","SUP0092",601.36,825.19,25
23,"PRD00023","Essential Binder","Office Supplies","SUP0048",8.21,14.22,50
24,"PRD00024","Ultra Coffee Beans","Grocery","SUP0032",2.03,3.43,20
25,"PRD00025","Premium Monitor","Electronics","SUP0076",753.08,1266.38,20
26,"PRD00026","Heavy-Duty Headphones","Electronics","SUP0030",319.71,553.89,10
27,"PRD00027","Deluxe Coffee Beans","Grocery","SUP0066",18.87,31.31,20
28,"PRD00028","Ultra Jacket","Apparel","SUP0070",141.51,217.87,20
29,"PRD00029","Smart Phone Mount","Automotive","SUP0061",384.86,742.40,20
30,"PRD00030","Classic Bookshelf","Furniture","SUP0013",196.32,255.61,10
31,"PRD00031","Deluxe Hair Dryer","Health & Beauty","SUP0053",12.78,16.15,50
32,"PRD00032","Premium Coffee Beans","Grocery","SUP0008",4.68,8.25,50
33,"PRD00033","Compact Dash Cam","Automotive","SUP0025",37.76,56.23,20
34,"PRD00034","Wireless Building Blocks","Toys & Games","SUP0024",102.01,129.29,25
35,"PRD00035","Compact Tent","Sports & Outdoors","SUP0104",245.45,358.70,75
36,"PRD00036","Essential Headphones","Electronics","SUP0012",107.76,191.01,20
37,"PRD00037","Ultra Toaster","Home & Kitchen","SUP0028",160.20,305.68,50
38,"PRD00038","Wireless Tea Set","Grocery","SUP0001",29.67,54.97,50
39,"PRD00039","Ultra Trousers","Apparel","SUP0055",45.90,63.48,100
40,"PRD00040","Portable Tea Set","Grocery","SUP0020",30.27,56.15,20
41,"PRD00041","Premium Socks Pack","Apparel","SUP0095",148.62,231.77,75
42,"PRD00042","Deluxe Headphones","Electronics","SUP0007",307.03,562.57,75
43,"PRD00043","Portable Water Bottle","Sports & Outdoors","SUP0008",106.20,206.88,75
44,"PRD00044","Wireless Charger","Electronics","SUP0077",688.85,1082.70,10
45,"PRD00045","Eco Hair Dryer","Health & Beauty","SUP0016",75.83,137.70,75
46,"PRD00046","Smart T-Shirt","Apparel","SUP0080",19.95,38.44,10
47,"PRD00047","Smart Whiteboard","Office Supplies","SUP0067",46.46,86.87,25
48,"PRD00048","Eco Snack Box","Grocery","SUP0031",13.48,25.90,25
49,"PRD00049","Essential Binder","Office Supplies","SUP0039",36.25,45.61,50
50,"PRD00050","Compact T-Shirt","Apparel","SUP0059",136.28,179.68,75
51,"PRD00051","Compact Coffee Beans","Grocery","SUP0069",13.45,26.40,20
52,"PRD00052","Wireless Backpack","Sports & Outdoors","SUP0113",285.48,479.63,10
53,"PRD00053","Deluxe Snack Box","Grocery","SUP0021",25.64,40.67,50
54,"PRD00054","Heavy-Duty Desk","Furniture","SUP0079",281.56,421.35,100
55,"PRD00055","Essential Card Game","Toys & Games","SUP0039",82.01,148.79,100
56,"PRD00056","Wireless Router","Electronics","SUP0015",636.39,1172.37,10
57,"PRD00057","Wireless Tyre Inflator","Automotive","SUP0037",45.57,73.86,75
58,"PRD00058","Deluxe Kettle","Home & Kitchen","SUP0088",21.93,36.45,100
59,"PRD00059","Portable Tea Set","Grocery","SUP0033",18.22,34.91,10
60,"PRD00060","Classic Router","Electronics","SUP0006",290.47,388.59,10
61,"PRD00061","Wireless Cap","Apparel","SUP0034",25.73,46.86,20
62,"PRD00062","Portable Seat Cover","Automotive","SUP0072",251.11,332.93,10
63,"PRD00063","Heavy-Duty Speaker","Electronics","SUP0070",81.02,143.87,10
64,"PRD00064","Smart Sofa","Furniture","SUP0019",88.67,165.49,50
65,"PRD00065","Pro Cookware Set","Home & Kitchen","SUP0116",178.91,234.55,10
66,"PRD00066","Eco Pasta Pack","Grocery","SUP0086",4.31,8.58,10
67,"PRD00067","Portable Desk Organizer","Office Supplies","SUP0080",34.94,53.39,100
68,"PRD00068","Eco Air Fryer","Home & Kitchen","SUP0021",204.70,401.30,20
69,"PRD00069","Premium Pasta Pack","Grocery","SUP0095",39.45,71.60,25
70,"PRD00070","Classic TV Stand","Furniture","SUP0111",354.23,464.97,100
71,"PRD00071","Pro Bookshelf","Furniture","SUP0101",705.00,1176.51,100
72,"PRD00072","Premium Power Bank","Electronics","SUP0029",348.01,671.58,20
73,"PRD00073","Ultra Desk","Furniture","SUP0040",122.30,198.06,20
74,"PRD00074","Essential Jacket","Apparel","SUP0052",6.65,10.65,25
75,"PRD00075","Compact Scarf","Apparel","SUP0036",13.16,17.62,25
76,"PRD00076","Classic Vitamin Pack","Health & Beauty","SUP0043",14.40,25.01,10
77,"PRD00077","Pro Speaker","Electronics","SUP0075",600.65,1013.61,25
78,"PRD00078","Smart Tablet Stand","Electronics","SUP0045",770.31,1179.46,100
79,"PRD00079","Classic Sofa","Furniture","SUP0066",275.00,522.90,10
80,"PRD00080","Smart Stapler","Office Supplies","SUP0033",21.68,42.76,10
81,"PRD00081","Premium Phone Mount","Automotive","SUP0119",14.74,29.15,75
82,"PRD00082","Heavy-Duty Dash Cam","Automotive","SUP0047",26.83,51.47,50
83,"PRD00083","Essential Webcam","Electronics","SUP0080",429.25,856.24,25
84,"PRD00084","Compact Electric Toothbrush","Health & Beauty","SUP0065",10.16,16.92,25
85,"PRD00085","Deluxe Hair Dryer","Health & Beauty","SUP0090",97.02,159.34,25
86,"PRD00086","Eco Building Blocks","Toys & Games","SUP0086",77.01,136.45,50
87,"PRD00087","Wireless Vitamin Pack","Health & Beauty","SUP0073",47.09,81.03,25
88,"PRD00088","Premium Pen Set","Office Supplies","SUP0037",53.42,102.88,20
89,"PRD00089","Smart Bike Light","Sports & Outdoors","SUP0084",19.36,28.28,25
90,"PRD00090","Ultra Resistance Bands","Sports & Outdoors","SUP0028",285.42,547.35,75
91,"PRD00091","Heavy-Duty Water Bottle","Sports & Outdoors","SUP0085",139.96,240.05,10
92,"PRD00092","Essential Cap","Apparel","SUP0080",45.22,62.91,25
93,"PRD00093","Eco Router","Electronics","SUP0029",379.00,574.19,20
94,"PRD00094","Premium Kettle","Home & Kitchen","SUP0061",149.24,195.25,75
95,"PRD00095","Compact Bed Frame","Furniture","SUP0054",877.60,1746.12,100
96,"PRD00096","Heavy-Duty Building Blocks","Toys & Games","SUP0064",84.99,140.41,50
97,"PRD00097","Essential Cap","Apparel","SUP0001",49.88,92.79,10
98,"PRD00098","Eco Bookshelf","Furniture","SUP0103",624.14,856.30,100
99,"PRD00099","Premium Bike Light","Sports & Outdoors","SUP0032",273.81,511.18,10
100,"PRD00100","Ultra Resistance Bands","Sports & Outdoors","SUP0068",285.24,511.80,75
101,"PRD00101","Ultra Card Game","Toys & Games","SUP0105",75.16,117.53,100
102,"PRD00102","Classic Spice Kit","Grocery","SUP0058",37.38,71.01,20
103,"PRD00103","Ultra Seat Cover","Automotive","SUP0034",27.64,35.10,20
104,"PRD00104","Pro Sofa","Furniture","SUP0063",354.41,658.46,100
105,"PRD00105","Ultra T-Shirt","Apparel","SUP0092",148.16,201.91,25
106,"PRD00106","Deluxe Trousers","Apparel","SUP0115",91.15,139.98,75
107,"PRD00107","Wireless Monitor","Electronics","SUP0050",776.38,1460.83,100
108,"PRD00108","Eco Blender","Home & Kitchen","SUP0054",210.88,337.73,50
109,"PRD00109","Ultra Hoodie","Apparel","SUP0008",65.15,94.80,20
110,"PRD00110","Classic Sofa","Furniture","SUP0090",74.33,141.12,10
111,"PRD00111","Smart Tea Set","Grocery","SUP0062",32.70,65.39,10
112,"PRD00112","Pro Tea Set","Grocery","SUP0110",39.87,66.45,50
113,"PRD00113","Heavy-Duty Card Game","Toys & Games","SUP0103",93.20,182.54,75
114,"PRD00114","Ultra Pasta Pack","Grocery","SUP0035",34.14,49.01,50
115,"PRD00115","Classic Backpack","Sports & Outdoors","SUP0086",138.46,186.49,100
116,"PRD00116","Heavy-Duty Bookshelf","Furniture","SUP0108",859.79,1465.62,50
117,"PRD00117","Smart Spice Kit","Grocery","SUP0004",9.92,17.40,50
118,"PRD00118","Essential Puzzle","Toys & Games","SUP0011",75.70,114.96,100
